component_id,name,category,description,code_snippet,use_cases
keep_001,Colors,Foundation,"Comprehensive color palette with primary, secondary, neutral, and semantic colors. Includes light and dark mode variants.","<div class=""flex flex-wrap gap-4""><div class=""w-16 h-16 bg-blue-500 rounded-lg""></div><div class=""w-16 h-16 bg-blue-600 rounded-lg""></div><div class=""w-16 h-16 bg-blue-700 rounded-lg""></div><div class=""w-16 h-16 bg-gray-500 rounded-lg""></div><div class=""w-16 h-16 bg-gray-600 rounded-lg""></div></div>","Brand identity, color schemes, design systems, theming"
keep_002,Typography,Foundation,"Typography scale with font families, sizes, weights, and line heights. Includes heading and body text styles.","<div class=""space-y-4""><h1 class=""text-4xl font-bold"">Heading 1</h1><h2 class=""text-3xl font-semibold"">Heading 2</h2><h3 class=""text-2xl font-medium"">Heading 3</h3><p class=""text-lg"">Body text with proper line height</p><p class=""text-sm text-gray-600"">Small text</p></div>","Text hierarchy, readability, content structure, brand consistency"
keep_003,Shadow,Foundation,Elevation system with multiple shadow levels for depth and visual hierarchy.,"<div class=""space-y-6""><div class=""p-6 bg-white shadow-sm rounded-lg"">Small shadow</div><div class=""p-6 bg-white shadow-md rounded-lg"">Medium shadow</div><div class=""p-6 bg-white shadow-lg rounded-lg"">Large shadow</div><div class=""p-6 bg-white shadow-xl rounded-lg"">Extra large shadow</div></div>","Card elevation, modal overlays, button states, visual depth"
keep_004,Spacing Scale,Foundation,"Consistent spacing system using multiples of 4px for margins, padding, and gaps.","<div class=""space-y-4""><div class=""p-2 bg-blue-100 rounded"">2px padding</div><div class=""p-4 bg-blue-200 rounded"">4px padding</div><div class=""p-6 bg-blue-300 rounded"">6px padding</div><div class=""p-8 bg-blue-400 rounded"">8px padding</div></div>","Layout consistency, responsive design, component spacing, grid systems"
keep_005,Icons,Foundation,Comprehensive icon library with consistent sizing and styling options.,"<div class=""flex space-x-4""><svg class=""w-6 h-6 text-blue-600"" fill=""currentColor"" viewBox=""0 0 20 20""><path d=""M10 12a2 2 0 100-4 2 2 0 000 4z""/><path fill-rule=""evenodd"" d=""M.458 10C1.732 5.943 5.522 3 10 3s8.268 2.943 9.542 7c-1.274 4.057-5.064 7-9.542 7S1.732 14.057.458 10zM14 10a4 4 0 11-8 0 4 4 0 018 0z"" clip-rule=""evenodd""/></svg><svg class=""w-6 h-6 text-green-600"" fill=""currentColor"" viewBox=""0 0 20 20""><path fill-rule=""evenodd"" d=""M16.707 5.293a1 1 0 010 1.414l-8 8a1 1 0 01-1.414 0l-4-4a1 1 0 011.414-1.414L8 12.586l7.293-7.293a1 1 0 011.414 0z"" clip-rule=""evenodd""/></svg></div>","User interface, navigation, actions, visual communication"
keep_006,Logo,Foundation,Brand logo components with different sizes and variations for various contexts.,"<div class=""flex items-center space-x-4""><div class=""text-2xl font-bold text-blue-600"">Brand</div><div class=""text-lg font-semibold text-gray-800"">Brand</div><div class=""text-sm font-medium text-gray-600"">Brand</div></div>","Brand identity, headers, footers, marketing materials"
keep_007,Button,UI Components,"Primary, secondary, and ghost button variants with different sizes and states.","<div class=""space-x-4""><button class=""bg-blue-600 text-white px-6 py-3 rounded-lg hover:bg-blue-700"">Primary</button><button class=""border border-blue-600 text-blue-600 px-6 py-3 rounded-lg hover:bg-blue-50"">Secondary</button><button class=""text-blue-600 px-6 py-3 hover:bg-blue-50 rounded-lg"">Ghost</button></div>","Actions, forms, navigation, CTAs"
keep_008,Button Group,UI Components,Grouped buttons for related actions with consistent spacing and styling.,"<div class=""inline-flex rounded-lg border border-gray-300""><button class=""px-4 py-2 text-sm font-medium text-gray-700 bg-white border-r border-gray-300 hover:bg-gray-50"">Left</button><button class=""px-4 py-2 text-sm font-medium text-gray-700 bg-white border-r border-gray-300 hover:bg-gray-50"">Middle</button><button class=""px-4 py-2 text-sm font-medium text-gray-700 bg-white hover:bg-gray-50"">Right</button></div>","Toolbars, filters, segmented controls, action groups"
keep_009,Avatar,UI Components,User profile images with fallback initials and different sizes.,"<div class=""flex space-x-4""><div class=""w-8 h-8 bg-blue-500 rounded-full flex items-center justify-center text-white text-sm font-medium"">JD</div><div class=""w-12 h-12 bg-green-500 rounded-full flex items-center justify-center text-white font-medium"">AB</div><div class=""w-16 h-16 bg-purple-500 rounded-full flex items-center justify-center text-white text-lg font-medium"">CD</div></div>","User profiles, comments, team members, chat interfaces"
keep_010,Accordion,UI Components,Collapsible content sections with smooth animations and customizable headers.,"<div class=""space-y-2""><div class=""border border-gray-200 rounded-lg""><button class=""w-full px-4 py-3 text-left font-medium flex justify-between items-center"">Section 1 <span class=""transform transition-transform"">+</span></button><div class=""px-4 pb-3 text-gray-600"">Content for section 1</div></div></div>","FAQs, documentation, settings panels, content organization"
